selector	line_range	verdict	evidence	bytes	inside_media
.cta-inner p	1863-1868	DELETE	no markup or JS reference anywhere in file	121	
.cta-phone	1870-1874	DELETE	no markup or JS reference anywhere in file	95	
.cta-phone a	1875-1880	DELETE	no markup or JS reference anywhere in file	119	
.site-footer	1885-1888	KEEP	production system: classes=site-footer	89	
.footer-grid	1890-1897	KEEP	production system: classes=footer-grid	160	
.footer-brand .nav-logo	1899-1904	KEEP	production system: classes=footer-brand	112	
.footer-brand p	1906-1910	KEEP	production system: classes=footer-brand	100	
.footer-links h4	1912-1918	KEEP	production system: classes=footer-links	141	
.footer-links ul	1920-1925	KEEP	production system: classes=footer-links	96	
.footer-links a	1927-1931	KEEP	production system: classes=footer-links	106	
.footer-links a:hover	1932-1932	KEEP	production system: classes=footer-links	46	
.footer-contact h4	1934-1940	KEEP	production system: classes=footer-contact	143	
.footer-contact p, .footer-contact a	1942-1947	KEEP	production system: classes=footer-contact	121	
.footer-contact a:hover	1948-1948	KEEP	production system: classes=footer-contact	48	
.footer-site	1949-1949	KEEP	production system: classes=footer-site	33	
.footer-logo-img	1950-1950	KEEP	production system: classes=footer-logo-img	127	
.footer-bottom	1952-1958	KEEP	production system: classes=footer-bottom	162	
.footer-bottom p	1959-1963	KEEP	production system: classes=footer-bottom	102	
.mobile-sticky-cta	1968-1979	KEEP	production system: classes=mobile-sticky-cta	242	
.mobile-sticky-cta .btn-primary	1980-1984	KEEP	production system: classes=btn-primary,mobile-sticky-cta	99	
.hero-photo-wrap img	1994-1997	DELETE	no markup or JS reference; v1-only legacy class ['hero-photo-wrap']	65	@media (max-width: 1024px)
.hero-pills	1998-1998	DELETE	no markup or JS reference; v1-only legacy class ['hero-pills']	25	@media (max-width: 1024px)
.hero-pill	1999-1999	DELETE	no markup or JS reference; v1-only legacy class ['hero-pill']	60	@media (max-width: 1024px)
.compare-grid	2001-2004	DELETE	no markup or JS reference; v1-only legacy class ['compare-grid']	66	@media (max-width: 1024px)
.compare-vs	2005-2007	DELETE	no markup or JS reference; v1-only legacy class ['compare-vs']	33	@media (max-width: 1024px)
.compare-vs span	2008-2011	DELETE	no markup or JS reference; v1-only legacy class ['compare-vs']	57	@media (max-width: 1024px)
.about-grid	2013-2016	DELETE	no markup or JS reference; v1-only legacy class ['about-grid']	64	@media (max-width: 1024px)
.steps	2018-2022	DELETE	v1 styling shadowed by v2 !important reset (classes=['steps']); no markup outside .home-v2	81	@media (max-width: 1024px)
.testimonials-grid	2024-2027	DELETE	no markup or JS reference; v1-only legacy class ['testimonials-grid']	71	@media (max-width: 1024px)
.footer-grid	2029-2032	KEEP	production system: classes=footer-grid	65	@media (max-width: 1024px)
:root	2037-2040	KEEP	:root custom properties used by v2	58	@media (max-width: 640px)
.nav	2042-2045	DELETE	no markup or JS reference anywhere in file	49	@media (max-width: 640px)
:root	2046-2046	KEEP	:root custom properties used by v2	29	@media (max-width: 640px)
.hero	2048-2051	DELETE	v1 styling shadowed by v2 !important reset (classes=['hero']); no markup outside .home-v2	58	@media (max-width: 640px)
.hero-photo-wrap img	2052-2055	DELETE	no markup or JS reference; v1-only legacy class ['hero-photo-wrap']	65	@media (max-width: 640px)
.hero-overlay	2056-2058	DELETE	no markup or JS reference; v1-only legacy class ['hero-overlay']	71	@media (max-width: 640px)
.hero h1	2059-2059	DELETE	v1 styling shadowed by v2 !important reset (classes=['hero']); no markup outside .home-v2	51	@media (max-width: 640px)
.hero-sub	2060-2060	DELETE	no markup or JS reference; v1-only legacy class ['hero-sub']	42	@media (max-width: 640px)
.hero-pills	2061-2061	DELETE	no markup or JS reference; v1-only legacy class ['hero-pills']	25	@media (max-width: 640px)
.hero-pill	2062-2062	DELETE	no markup or JS reference; v1-only legacy class ['hero-pill']	52	@media (max-width: 640px)
.hero-bottom	2063-2065	DELETE	no markup or JS reference; v1-only legacy class ['hero-bottom']	47	@media (max-width: 640px)
.hero-actions	2066-2069	DELETE	no markup or JS reference; v1-only legacy class ['hero-actions']	72	@media (max-width: 640px)
.hero-actions .btn-primary, .hero-actions .btn-secondary	2070-2074	DELETE	selector references ['btn-primary'] but is gated by dead ancestor(s) ['btn-secondary', 'hero-actions'] with no markup	110	@media (max-width: 640px)
.hero-trust	2075-2079	DELETE	no markup or JS reference; v1-only legacy class ['hero-trust']	85	@media (max-width: 640px)
.compare-column	2081-2083	DELETE	no markup or JS reference; v1-only legacy class ['compare-column']	45	@media (max-width: 640px)
.pain-grid	2085-2087	DELETE	no markup or JS reference; v1-only legacy class ['pain-grid']	48	@media (max-width: 640px)
.conditions-grid	2089-2092	DELETE	no markup or JS reference; v1-only legacy class ['conditions-grid']	72	@media (max-width: 640px)
.condition-card	2094-2097	DELETE	no markup or JS reference; v1-only legacy class ['condition-card']	55	@media (max-width: 640px)
.condition-card span	2098-2098	DELETE	no markup or JS reference; v1-only legacy class ['condition-card']	51	@media (max-width: 640px)
.pricing-card	2100-2102	DELETE	no markup or JS reference; v1-only legacy class ['pricing-card']	43	@media (max-width: 640px)
.pricing-amount	2104-2106	DELETE	no markup or JS reference; v1-only legacy class ['pricing-amount']	42	@media (max-width: 640px)
.proof-bar-inner	2108-2110	DELETE	no markup or JS reference; v1-only legacy class ['proof-bar-inner']	36	@media (max-width: 640px)
.proof-bar span	2111-2113	DELETE	no markup or JS reference; v1-only legacy class ['proof-bar']	52	@media (max-width: 640px)
.mobile-sticky-cta	2116-2116	KEEP	production system: classes=mobile-sticky-cta	38	@media (max-width: 640px)
.site-footer	2119-2119	KEEP	production system: classes=site-footer	38	@media (max-width: 640px)
